indicator,drug_type,lhn,financial_year,year_start,count,mean_bed_days,group_by,sex,age_group,indigenous_status,seifa_quintile,remoteness,population,rate_per_100k,rate_lcl,rate_ucl
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2022-23,2022,20,2.1,Sex by age,Males,25-34,All,All,All,11828,169.1,95.0,243.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2022-23,2022,7,1.71,Sex by age,Males,35-44,All,All,All,10983,63.7,16.5,110.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2022-23,2022,4,1.5,Sex by age,Males,45-54,All,All,All,10983,36.4,0.7,72.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2022-23,2022,4,1.25,Sex by age,Males,55-64,All,All,All,10139,39.5,0.8,78.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2022-23,2022,4,2.0,Sex by age,Males,65+,All,All,All,15208,26.3,0.5,52.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,9,1.22,Sex by age,Females,15-24,All,All,All,10260,87.7,30.4,145.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,12,1.5,Sex by age,Females,25-34,All,All,All,11970,100.3,43.6,157.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,3,1.0,Sex by age,Females,35-44,All,All,All,11115,27.0,0.0,57.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,9,1.22,Sex by age,Females,45-54,All,All,All,11115,81.0,28.1,133.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,2,1.5,Sex by age,Females,55-64,All,All,All,10260,19.5,0.0,46.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,1,1.0,Sex by age,Females,65+,All,All,All,15391,6.5,0.0,19.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,1,1.0,Sex by age,Males,0-14,All,All,All,15391,6.5,0.0,19.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,4,1.0,Sex by age,Males,15-24,All,All,All,10260,39.0,0.8,77.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,8,1.12,Sex by age,Males,25-34,All,All,All,11970,66.8,20.5,113.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,14,1.5,Sex by age,Males,35-44,All,All,All,11115,126.0,60.0,192.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,4,1.5,Sex by age,Males,45-54,All,All,All,11115,36.0,0.7,71.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,3,1.0,Sex by age,Males,55-64,All,All,All,10260,29.2,0.0,62.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2023-24,2023,3,1.33,Sex by age,Males,65+,All,All,All,15391,19.5,0.0,41.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,3,1.0,Sex by age,Females,15-24,All,All,All,10383,28.9,0.0,61.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,9,1.0,Sex by age,Females,25-34,All,All,All,12114,74.3,25.8,122.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,4,1.5,Sex by age,Females,35-44,All,All,All,11249,35.6,0.8,70.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,6,1.17,Sex by age,Females,45-54,All,All,All,11249,53.3,10.6,96.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,1,1.0,Sex by age,Females,55-64,All,All,All,10383,9.6,0.0,28.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,4,2.25,Sex by age,Females,65+,All,All,All,15575,25.7,0.5,50.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,8,1.5,Sex by age,Males,15-24,All,All,All,10383,77.0,23.6,130.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,21,1.76,Sex by age,Males,25-34,All,All,All,12114,173.4,99.3,247.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,12,1.17,Sex by age,Males,35-44,All,All,All,11249,106.7,46.3,167.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,6,1.0,Sex by age,Males,45-54,All,All,All,11249,53.3,10.6,96.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,3,1.0,Sex by age,Males,55-64,All,All,All,10383,28.9,0.0,61.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Barossa Hills Fleurieu LHN,2024-25,2024,2,1.0,Sex by age,Males,65+,All,All,All,15575,12.8,0.0,30.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,29,1.38,Sex by age,Females,15-24,All,All,All,29400,98.6,62.7,134.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,26,1.58,Sex by age,Females,25-34,All,All,All,34300,75.8,46.7,104.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,17,1.47,Sex by age,Females,35-44,All,All,All,31850,53.4,28.0,78.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,10,1.5,Sex by age,Females,45-54,All,All,All,31850,31.4,11.9,50.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,9,2.56,Sex by age,Females,55-64,All,All,All,29400,30.6,10.6,50.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,6,1.33,Sex by age,Females,65+,All,All,All,44100,13.6,2.7,24.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,1,2.0,Sex by age,Males,0-14,All,All,All,44100,2.3,0.0,6.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,36,2.11,Sex by age,Males,15-24,All,All,All,29400,122.4,82.4,162.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,49,1.63,Sex by age,Males,25-34,All,All,All,34300,142.9,102.9,182.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,39,1.92,Sex by age,Males,35-44,All,All,All,31850,122.4,84.0,160.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,16,1.38,Sex by age,Males,45-54,All,All,All,31850,50.2,25.6,74.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,13,1.46,Sex by age,Males,55-64,All,All,All,29400,44.2,20.2,68.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2020-21,2020,11,1.09,Sex by age,Males,65+,All,All,All,44100,24.9,10.2,39.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,14,1.43,Sex by age,Females,15-24,All,All,All,29752,47.1,22.5,71.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,30,1.83,Sex by age,Females,25-34,All,All,All,34711,86.4,55.5,117.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,21,1.95,Sex by age,Females,35-44,All,All,All,32232,65.2,37.3,93.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,10,3.0,Sex by age,Females,45-54,All,All,All,32232,31.0,11.8,50.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,13,1.0,Sex by age,Females,55-64,All,All,All,29752,43.7,19.9,67.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,11,1.64,Sex by age,Females,65+,All,All,All,44629,24.6,10.0,39.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,3,1.67,Sex by age,Males,0-14,All,All,All,44629,6.7,0.0,14.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,38,2.53,Sex by age,Males,15-24,All,All,All,29752,127.7,87.1,168.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,58,1.79,Sex by age,Males,25-34,All,All,All,34711,167.1,124.1,210.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,33,2.03,Sex by age,Males,35-44,All,All,All,32232,102.4,67.5,137.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,17,1.53,Sex by age,Males,45-54,All,All,All,32232,52.7,27.6,77.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,19,1.84,Sex by age,Males,55-64,All,All,All,29752,63.9,35.2,92.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2021-22,2021,16,1.88,Sex by age,Males,65+,All,All,All,44629,35.9,18.3,53.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,2,1.0,Sex by age,Females,0-14,All,All,All,45164,4.4,0.0,10.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,27,1.74,Sex by age,Females,15-24,All,All,All,30109,89.7,55.9,123.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,40,2.33,Sex by age,Females,25-34,All,All,All,35128,113.9,78.6,149.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,21,1.19,Sex by age,Females,35-44,All,All,All,32618,64.4,36.9,91.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,18,1.61,Sex by age,Females,45-54,All,All,All,32618,55.2,29.7,80.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,10,2.3,Sex by age,Females,55-64,All,All,All,30109,33.2,12.6,53.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,6,1.67,Sex by age,Females,65+,All,All,All,45164,13.3,2.7,23.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,1,2.0,Sex by age,Males,0-14,All,All,All,45164,2.2,0.0,6.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,36,2.11,Sex by age,Males,15-24,All,All,All,30109,119.6,80.5,158.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,62,1.84,Sex by age,Males,25-34,All,All,All,35128,176.5,132.6,220.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,47,1.83,Sex by age,Males,35-44,All,All,All,32618,144.1,102.9,185.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,33,1.58,Sex by age,Males,45-54,All,All,All,32618,101.2,66.7,135.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,23,1.65,Sex by age,Males,55-64,All,All,All,30109,76.4,45.2,107.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2022-23,2022,23,1.17,Sex by age,Males,65+,All,All,All,45164,50.9,30.1,71.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,16,1.56,Sex by age,Females,15-24,All,All,All,30471,52.5,26.8,78.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,28,2.57,Sex by age,Females,25-34,All,All,All,35549,78.8,49.6,108.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,20,1.25,Sex by age,Females,35-44,All,All,All,33010,60.6,34.0,87.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,16,1.38,Sex by age,Females,45-54,All,All,All,33010,48.5,24.7,72.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,8,1.88,Sex by age,Females,55-64,All,All,All,30471,26.3,8.1,44.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,12,2.83,Sex by age,Females,65+,All,All,All,45706,26.3,11.4,41.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,2,1.5,Sex by age,Males,0-14,All,All,All,45706,4.4,0.0,10.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,36,1.97,Sex by age,Males,15-24,All,All,All,30471,118.1,79.5,156.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,34,1.53,Sex by age,Males,25-34,All,All,All,35549,95.6,63.5,127.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,51,1.84,Sex by age,Males,35-44,All,All,All,33010,154.5,112.1,196.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,21,1.57,Sex by age,Males,45-54,All,All,All,33010,63.6,36.4,90.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,17,1.65,Sex by age,Males,55-64,All,All,All,30471,55.8,29.3,82.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2023-24,2023,15,1.33,Sex by age,Males,65+,All,All,All,45706,32.8,16.2,49.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,2,1.5,Sex by age,Females,0-14,All,All,All,46255,4.3,0.0,10.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,22,1.73,Sex by age,Females,15-24,All,All,All,30836,71.3,41.5,101.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,25,1.8,Sex by age,Females,25-34,All,All,All,35976,69.5,42.3,96.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,18,1.5,Sex by age,Females,35-44,All,All,All,33406,53.9,29.0,78.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,23,2.26,Sex by age,Females,45-54,All,All,All,33406,68.8,40.7,96.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,12,2.08,Sex by age,Females,55-64,All,All,All,30836,38.9,16.9,60.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,6,2.0,Sex by age,Females,65+,All,All,All,46255,13.0,2.6,23.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,3,2.0,Sex by age,Males,0-14,All,All,All,46255,6.5,0.0,13.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,50,2.08,Sex by age,Males,15-24,All,All,All,30836,162.1,117.2,207.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,56,2.09,Sex by age,Males,25-34,All,All,All,35976,155.7,114.9,196.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,34,1.47,Sex by age,Males,35-44,All,All,All,33406,101.8,67.6,136.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,25,1.92,Sex by age,Males,45-54,All,All,All,33406,74.8,45.5,104.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,26,1.42,Sex by age,Males,55-64,All,All,All,30836,84.3,51.9,116.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Central Adelaide LHN,2024-25,2024,13,3.54,Sex by age,Males,65+,All,All,All,46255,28.1,12.8,43.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,2,2.5,Sex by age,Females,15-24,All,All,All,3300,60.6,0.0,144.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,2,1.0,Sex by age,Females,25-34,All,All,All,3850,51.9,0.0,123.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,2,1.0,Sex by age,Females,35-44,All,All,All,3575,55.9,0.0,133.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,2,1.0,Sex by age,Females,45-54,All,All,All,3575,55.9,0.0,133.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,1,1.0,Sex by age,Females,55-64,All,All,All,3300,30.3,0.0,89.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,1,1.0,Sex by age,Females,65+,All,All,All,4950,20.2,0.0,59.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,9,1.22,Sex by age,Males,15-24,All,All,All,3300,272.7,94.5,450.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,9,2.33,Sex by age,Males,25-34,All,All,All,3850,233.8,81.1,386.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,4,1.75,Sex by age,Males,35-44,All,All,All,3575,111.9,2.2,221.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,2,1.5,Sex by age,Males,45-54,All,All,All,3575,55.9,0.0,133.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,3,1.0,Sex by age,Males,55-64,All,All,All,3300,90.9,0.0,193.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2020-21,2020,1,1.0,Sex by age,Males,65+,All,All,All,4950,20.2,0.0,59.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,3,1.0,Sex by age,Females,15-24,All,All,All,3339,89.8,0.0,191.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,4,1.75,Sex by age,Females,25-34,All,All,All,3896,102.7,2.1,203.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,5,3.8,Sex by age,Females,35-44,All,All,All,3617,138.2,17.0,259.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,1,1.0,Sex by age,Females,45-54,All,All,All,3617,27.6,0.0,81.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,1,1.0,Sex by age,Females,55-64,All,All,All,3339,29.9,0.0,88.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,1,1.0,Sex by age,Females,65+,All,All,All,5009,20.0,0.0,59.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,3,1.0,Sex by age,Males,15-24,All,All,All,3339,89.8,0.0,191.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,7,1.29,Sex by age,Males,25-34,All,All,All,3896,179.7,46.6,312.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,4,2.5,Sex by age,Males,35-44,All,All,All,3617,110.6,2.2,219.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,6,1.0,Sex by age,Males,45-54,All,All,All,3617,165.9,33.2,298.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,1,1.0,Sex by age,Males,55-64,All,All,All,3339,29.9,0.0,88.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2021-22,2021,3,1.0,Sex by age,Males,65+,All,All,All,5009,59.9,0.0,127.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,1,1.0,Sex by age,Females,15-24,All,All,All,3379,29.6,0.0,87.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,6,6.17,Sex by age,Females,25-34,All,All,All,3942,152.2,30.4,274.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,2,1.5,Sex by age,Females,35-44,All,All,All,3661,54.6,0.0,130.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,2,8.0,Sex by age,Females,45-54,All,All,All,3661,54.6,0.0,130.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,1,1.0,Sex by age,Females,55-64,All,All,All,3379,29.6,0.0,87.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,1,1.0,Sex by age,Females,65+,All,All,All,5069,19.7,0.0,58.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,6,1.5,Sex by age,Males,15-24,All,All,All,3379,177.6,35.5,319.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,7,2.14,Sex by age,Males,25-34,All,All,All,3942,177.6,46.1,309.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,7,2.14,Sex by age,Males,35-44,All,All,All,3661,191.2,49.6,332.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,6,1.0,Sex by age,Males,45-54,All,All,All,3661,163.9,32.8,295.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2022-23,2022,3,1.0,Sex by age,Males,55-64,All,All,All,3379,88.8,0.0,189.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,4,1.25,Sex by age,Females,15-24,All,All,All,3420,117.0,2.4,231.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,9,1.44,Sex by age,Females,25-34,All,All,All,3990,225.6,78.2,373.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,5,1.2,Sex by age,Females,35-44,All,All,All,3705,135.0,16.7,253.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,2,3.0,Sex by age,Females,45-54,All,All,All,3705,54.0,0.0,128.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,1,1.0,Sex by age,Females,55-64,All,All,All,3420,29.2,0.0,86.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,1,1.0,Sex by age,Males,0-14,All,All,All,5130,19.5,0.0,57.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,4,2.25,Sex by age,Males,15-24,All,All,All,3420,117.0,2.4,231.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,8,1.0,Sex by age,Males,25-34,All,All,All,3990,200.5,61.6,339.4
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,3,1.33,Sex by age,Males,35-44,All,All,All,3705,81.0,0.0,172.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,2,1.0,Sex by age,Males,45-54,All,All,All,3705,54.0,0.0,128.8
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,1,1.0,Sex by age,Males,55-64,All,All,All,3420,29.2,0.0,86.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2023-24,2023,1,1.0,Sex by age,Males,65+,All,All,All,5130,19.5,0.0,57.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,1,1.0,Sex by age,Females,0-14,All,All,All,5191,19.3,0.0,57.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,2,1.0,Sex by age,Females,15-24,All,All,All,3461,57.8,0.0,137.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,6,1.67,Sex by age,Females,25-34,All,All,All,4038,148.6,29.7,267.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,3,1.33,Sex by age,Females,35-44,All,All,All,3749,80.0,0.0,170.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,4,1.25,Sex by age,Females,45-54,All,All,All,3749,106.7,2.1,211.3
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,2,3.0,Sex by age,Females,55-64,All,All,All,3461,57.8,0.0,137.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,1,1.0,Sex by age,Females,65+,All,All,All,5191,19.3,0.0,57.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,1,1.0,Sex by age,Males,0-14,All,All,All,5191,19.3,0.0,57.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,5,4.2,Sex by age,Males,15-24,All,All,All,3461,144.5,17.9,271.1
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,4,3.0,Sex by age,Males,25-34,All,All,All,4038,99.1,2.0,196.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,2,5.5,Sex by age,Males,35-44,All,All,All,3749,53.3,0.0,127.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,7,1.29,Sex by age,Males,45-54,All,All,All,3749,186.7,48.4,325.0
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,2,1.0,Sex by age,Males,55-64,All,All,All,3461,57.8,0.0,137.9
Alcohol and other drug-related hospitalisations,Cannabinoids,Eyre and Far North LHN,2024-25,2024,3,1.0,Sex by age,Males,65+,All,All,All,5191,57.8,0.0,123.2
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2020-21,2020,4,2.5,Sex by age,Females,15-24,All,All,All,4200,95.2,1.9,188.5
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2020-21,2020,4,1.5,Sex by age,Females,25-34,All,All,All,4900,81.6,1.6,161.6
Alcohol and other drug-related hospitalisations,Cannabinoids,Flinders and Upper North LHN,2020-21,2020,4,2.5,Sex by age,Females,35-44,All,All,All,4550,87.9,1.7,174.1
